X,Y
0.728,-5.914
0.713,-5.311
0.645,-8.38
0.672,-6.109
0.631,-3.814
0.396,-9.348
0.741,-5.751
0.774,-3.167
0.767,-7.022
0.65,-7.79
0.72,-7.026
0.807,-4.577
0.819,-5.307
0.869,-5.094
0.708,-6.019
0.849,-3.516
0.505,-8.256
0.711,-7.279
0.748,-7.626
0.563,-8.053
0.692,-5.427
0.575,-6.478
0.74,-4.786
0.834,-2.752
0.732,-6.762
0.796,-4.761
0.768,-4.868
0.589,-5.093
0.69,-4.665
0.59,-4.359
0.775,-5.452
0.799,-4.564
0.733,-6.072
0.677,-7.237
0.692,-5.49
0.806,-4.714
0.609,-5.02
0.811,-4.232
0.79,-5.216
0.551,-7.89
0.581,-6.365
0.708,-5.331
0.953,-3.74
0.525,-7.687
0.686,-4.893
0.693,-6.407
0.765,-7.078
0.723,-6.674
0.532,-6.833
0.782,-4.962
0.812,-5.29
0.477,-11.062
0.624,-5.815
0.698,-5.608
0.557,-7.498
0.661,-6.705
0.412,-9.343
0.842,-5.612
0.692,-5.825
0.877,-3.782
0.715,-6.587
0.325,-8.083
0.877,-3.016
0.653,-6.032
0.915,-3.456
0.743,-3.095
0.666,-5.825
0.786,-5.483
0.732,-5.266
0.709,-5.955
0.791,-5.194
0.736,-7.948
0.879,-4.098
0.906,-4.593
0.97,-3.994
0.805,-4.119
0.785,-4.842
0.787,-4.4
0.963,-3.04
0.938,-4.305
0.85,-4.991
0.912,-4.44
0.954,-3.336
0.887,-2.851
0.833,-4.504
0.916,-2.554
0.97,-3.849
0.876,-7.403
0.95,-5.167
0.756,-6.118
0.979,-1.508
0.853,-3.938
0.972,-3.927
0.863,-4.128
0.884,-1.873
0.839,-2.574
0.938,-2.535
0.882,-5.205
0.859,-5.39
0.861,-4.53
0.807,-4.967
0.929,-2.473
0.89,-3.832
0.672,-6.102
0.841,-4.041
0.806,-2.99
0.829,-5.937
0.91,-4.628
0.833,-4.036
0.466,-8.337
0.853,-3.508
0.729,-7.714
0.837,-3.978
0.911,-7.842
0.626,-6.279
0.945,-2.334
0.907,-7.624
0.76,-5.291
0.854,-4.408
0.983,-1.821
0.97,-3.047
0.993,-1.702
0.983,-2.526
0.988,-3.778
0.912,-5.131
0.988,-2.331
0.916,-5.64
0.93,-1.301
0.911,-3.593
0.953,-4.634
0.984,-4.021
0.977,-2.74
0.764,-3.524
0.6,-9.097
0.968,-3.956
0.507,-6.292
0.951,-3.754
0.772,-4.261
0.786,-4.309
0.994,-2.49
0.855,-4.013
0.966,-4.281
0.931,-2.867
0.973,-4.467
0.941,-3.838
0.798,-4.454
0.916,-4.005
0.983,-3.947
0.878,-1.48
0.973,-2.84
0.925,-3.399
0.942,-5.455
0.989,-2.917
0.996,-4.426
0.833,-4.138
0.949,-4.495
0.776,-7.037
0.949,-3.188
0.969,-3.247
0.922,-4.175
0.929,-2.899
0.997,-2.48
0.906,-1.538
0.988,-3.788
0.922,-4.643
0.987,-3.27
0.973,-3.3
0.894,-3.38
0.946,-5.694
0.871,-6.246
0.924,-4.568
0.954,-4.321
0.983,-3.813
0.989,-1.698
0.865,-4.083
0.903,-2.955
0.743,-5.049
0.783,-3.499
0.958,-4.029
0.701,-5.885
0.878,-5.951
0.877,-3.23
0.692,-5.57
0.92,-4.78
0.633,-13.816
0.924,-3.898
0.852,-9.403
0.935,-2.739
0.783,-5.367
0.883,-2.965
0.993,-2.134
0.831,-5.394
0.664,-10.355
0.854,-3.444
0.915,-6.626
0.977,-3.57
0.856,-5.236
0.758,-7.418
0.945,-2.82
0.802,-5.797
0.824,-5.892
0.891,-3.738
0.905,-5.062
0.848,-7.839
0.848,-4.442
0.911,-9.458
0.679,-6.299
0.737,-4.378
0.96,-5.266
0.959,-7.215
0.709,-7.555
0.957,-3.616
0.871,-7.336
0.906,-2.117
0.7,-9.213
0.717,-6.191
0.967,-5.489
0.711,-7.263
0.844,-5.552
0.876,-4.837
0.918,-4.83
0.954,-3.501
0.907,-2.536
0.993,-1.561
0.674,-4.476
0.737,-5.219
0.783,-4.271
0.884,-4.754
0.867,-3.867
0.934,-2.878
0.798,-5.821
0.727,-5.608
0.791,-3.996
0.898,-3.466
0.752,-3.676
0.753,-7.536
0.765,-6.044
0.917,-2.318
0.664,-5.297
0.767,-5.836
0.917,-2.725
0.74,-5.125
0.888,-3.956
0.864,-5.341
0.855,-6.246
0.892,-2.762
0.941,-2.255
0.911,-4.422
0.651,-7.072
0.877,-4.077
0.799,-5.109
0.893,-2.416
0.847,-6.81
0.884,-3.548
0.887,-3.914
0.633,-6.402
0.742,-7.2
0.969,-2.577
0.971,-5.689
0.769,-5.977
0.974,-3.092
0.847,-2.408
0.748,-4.798
0.789,-5.484
0.925,-4.43
0.918,-2.508
0.867,-5.247
